team_1,team_2,score,link
Лада,Торпедо,3:1,https://www.khl.ru/game/1369/898074/resume/
Нефтехимик,СКА,1:5,https://www.khl.ru/game/1369/898075/resume/
Металлург Мг,Автомобилист,4:1,https://www.khl.ru/game/1369/898076/resume/
Сибирь,ХК Сочи,10:1,https://www.khl.ru/game/1369/898077/resume/
Драконы,Локомотив,0:2,https://www.khl.ru/game/1369/898078/resume/
Динамо Мн,Северсталь,7:4,https://www.khl.ru/game/1369/898079/resume/
Спартак,Динамо М,2:3,https://www.khl.ru/game/1369/898080/resume/
KHL Ural Stars,KHL World Stars,9:6,https://www.khl.ru/game/1423/901628/resume/
KHL RUS Stars,KHL U23 Stars,9:2,https://www.khl.ru/game/1423/901629/resume/
KHL U23 Stars,KHL World Stars,8:5,https://www.khl.ru/game/1423/901626/resume/
KHL Ural Stars,KHL RUS Stars,3:6,https://www.khl.ru/game/1423/901627/resume/
Северсталь,СКА,1:3,https://www.khl.ru/game/1369/898070/resume/
Лада,Динамо Мн,3:8,https://www.khl.ru/game/1369/898071/resume/
Драконы,ЦСКА,0:1,https://www.khl.ru/game/1369/898072/resume/
Авангард,Автомобилист,2:3 ОТ,https://www.khl.ru/game/1369/898073/resume/
Амур,Торпедо,1:2,https://www.khl.ru/game/1369/898065/resume/
Сибирь,Нефтехимик,2:5,https://www.khl.ru/game/1369/898066/resume/
Адмирал,Барыс,1:4,https://www.khl.ru/game/1369/898067/resume/
Трактор,Ак Барс,4:0,https://www.khl.ru/game/1369/898068/resume/
Локомотив,Спартак,3:1,https://www.khl.ru/game/1369/898069/resume/
Драконы,Авангард,3:5,https://www.khl.ru/game/1369/898061/resume/
ЦСКА,ХК Сочи,3:1,https://www.khl.ru/game/1369/898062/resume/
Динамо Мн,СКА,3:4 Б,https://www.khl.ru/game/1369/898063/resume/
Лада,Металлург Мг,2:3,https://www.khl.ru/game/1369/898064/resume/
Северсталь,Спартак,1:5,https://www.khl.ru/game/1369/898056/resume/
Салават Юлаев,Нефтехимик,2:1,https://www.khl.ru/game/1369/898057/resume/
Сибирь,Ак Барс,3:2 Б,https://www.khl.ru/game/1369/898058/resume/
Адмирал,Торпедо,2:3 ОТ,https://www.khl.ru/game/1369/898059/resume/
Амур,Барыс,4:2,https://www.khl.ru/game/1369/898060/resume/
ЦСКА,СКА,3:2 Б,https://www.khl.ru/game/1369/898053/resume/
Локомотив,ХК Сочи,3:0,https://www.khl.ru/game/1369/898054/resume/
Динамо М,Авангард,1:4,https://www.khl.ru/game/1369/898055/resume/
Салават Юлаев,Торпедо,3:1,https://www.khl.ru/game/1369/898047/resume/
Сибирь,Трактор,1:3,https://www.khl.ru/game/1369/898048/resume/
Металлург Мг,Динамо Мн,5:4,https://www.khl.ru/game/1369/898049/resume/
Амур,Барыс,2:1 Б,https://www.khl.ru/game/1369/898050/resume/
Адмирал,Автомобилист,1:4,https://www.khl.ru/game/1369/898051/resume/
Ак Барс,Нефтехимик,6:1,https://www.khl.ru/game/1369/898052/resume/
Спартак,СКА,4:0,https://www.khl.ru/game/1369/898043/resume/
Драконы,ХК Сочи,5:2,https://www.khl.ru/game/1369/898044/resume/
Динамо М,Северсталь,2:3,https://www.khl.ru/game/1369/898045/resume/
Локомотив,Лада,3:1,https://www.khl.ru/game/1369/898046/resume/
Драконы,ХК Сочи,1:2,https://www.khl.ru/game/1369/897972/resume/
Сибирь,Динамо Мн,4:1,https://www.khl.ru/game/1369/898040/resume/
Авангард,Трактор,1:0,https://www.khl.ru/game/1369/898041/resume/
Амур,Автомобилист,5:2,https://www.khl.ru/game/1369/898042/resume/
Спартак,Лада,6:2,https://www.khl.ru/game/1369/898035/resume/
Барыс,Адмирал,2:5,https://www.khl.ru/game/1369/898036/resume/
Динамо М,ЦСКА,2:4,https://www.khl.ru/game/1369/898037/resume/
Ак Барс,Салават Юлаев,3:4 ОТ,https://www.khl.ru/game/1369/898038/resume/
Торпедо,Северсталь,2:3 ОТ,https://www.khl.ru/game/1369/898039/resume/
Металлург Мг,Трактор,3:2,https://www.khl.ru/game/1369/898033/resume/
СКА,Локомотив,1:3,https://www.khl.ru/game/1369/898034/resume/
Динамо Мн,Салават Юлаев,1:2 ОТ,https://www.khl.ru/game/1369/898026/resume/
Автомобилист,Амур,4:2,https://www.khl.ru/game/1369/898027/resume/
ХК Сочи,Драконы,2:6,https://www.khl.ru/game/1369/898028/resume/
Авангард,Адмирал,5:2,https://www.khl.ru/game/1369/898029/resume/
Динамо М,Лада,3:1,https://www.khl.ru/game/1369/898030/resume/
Торпедо,Сибирь,2:4,https://www.khl.ru/game/1369/898031/resume/
ЦСКА,Северсталь,4:2,https://www.khl.ru/game/1369/898032/resume/
Спартак,Локомотив,2:3 ОТ,https://www.khl.ru/game/1369/898025/resume/
Нефтехимик,Барыс,3:2,https://www.khl.ru/game/1369/898018/resume/
Металлург Мг,Амур,4:2,https://www.khl.ru/game/1369/898019/resume/
Ак Барс,Сибирь,2:3 Б,https://www.khl.ru/game/1369/898020/resume/
ХК Сочи,Салават Юлаев,1:2,https://www.khl.ru/game/1369/898021/resume/
Динамо Мн,Драконы,6:1,https://www.khl.ru/game/1369/898022/resume/
Трактор,Адмирал,3:1,https://www.khl.ru/game/1369/898023/resume/
Торпедо,СКА,6:0,https://www.khl.ru/game/1369/898024/resume/
Лада,Динамо М,2:1,https://www.khl.ru/game/1369/898017/resume/
Автомобилист,Авангард,1:2 ОТ,https://www.khl.ru/game/1369/898012/resume/
ЦСКА,Барыс,1:0,https://www.khl.ru/game/1369/898013/resume/
Торпедо,Драконы,7:2,https://www.khl.ru/game/1369/898014/resume/
Металлург Мг,Сибирь,1:2,https://www.khl.ru/game/1369/898015/resume/
СКА,Спартак,1:2,https://www.khl.ru/game/1369/898016/resume/
ХК Сочи,Северсталь,4:5 ОТ,https://www.khl.ru/game/1369/898008/resume/
Адмирал,Ак Барс,1:4,https://www.khl.ru/game/1369/898009/resume/
Локомотив,Динамо Мн,2:1,https://www.khl.ru/game/1369/898010/resume/
Нефтехимик,Динамо М,2:1 Б,https://www.khl.ru/game/1369/898011/resume/
Салават Юлаев,Авангард,2:5,https://www.khl.ru/game/1369/898004/resume/
Автомобилист,Сибирь,2:0,https://www.khl.ru/game/1369/898005/resume/
Лада,Барыс,2:0,https://www.khl.ru/game/1369/898006/resume/
Драконы,Спартак,1:3,https://www.khl.ru/game/1369/898007/resume/
Локомотив,Торпедо,1:3,https://www.khl.ru/game/1369/897999/resume/
Амур,Металлург Мг,3:4,https://www.khl.ru/game/1369/898000/resume/
Адмирал,Ак Барс,2:5,https://www.khl.ru/game/1369/898001/resume/
СКА,Динамо Мн,3:4,https://www.khl.ru/game/1369/898002/resume/
